std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code
Total,Total,Total,Total,Total,Total,Total
MADAME USHI,RESTAURANT,ON,415 EAST HYMAN AVENUE,ASPEN,CO,81611
KYU,RESTAURANT,ON,324 LAFAYETTE ST,NEW YORK,NY,10012
KYU,RESTAURANT,ON,251 NW 25 STREET,MIAMI,FL,33127
ZUMA LAS VEGAS,RESTAURANT,ON,3708 S LAS VEGAS BLVD,LAS VEGAS,NV,89109
SUNSET HARBOR RESTAURANT LLC,RESTAURANT,ON,313 3 MILE HARBOR HOG CREEK RD,EAST HAMPTON,NY,11937
LOLA 41 PALM BEACH,RESTAURANT,ON,290 SUNSET AVENUE,PALM BEACH,FL,33480
ZUMA JAPANESE RESTAURANT,RESTAURANT,ON,270 BISCAYNE BLVD WAY,MIAMI,FL,33131
LOBSTER CLUB  THE,RESTAURANT,ON,375 PARK AVE,NEW YORK,NY,10022
POOL & GRILL,RESTAURANT,ON,99 E 52ND ST,NEW YORK,NY,10152
STANDARD MIAMI (THE),RESTAURANT,ON,40 ISLAND AVENUE,MIAMI BEACH,FL,33139
AQUA,RESTAURANT,ON,902 BROADWAY,NEW YORK,NY,10010
TAO UPTOWN,RESTAURANT,ON,42 44 EAST 58TH STREET,NEW YORK,NY,10022
MIA MARKET,RESTAURANT,ON,140 NE 39 ST,MIAMI,FL,33137
Wagyu House,RESTAURANT,ON,1042 Northside Dr STE 1300,Atlanta,GA,30318
TAO ASIAN BISTRO@VENETIAN,RESTAURANT,ON,3355 LAS VEGAS BLVD SO,LAS VEGAS,NV,89109
SUSHI SAKE,RESTAURANT,ON,2150 N COLLINS BOULEVARD,RICHARDSON,TX,75080
CHOTTO MATTE,RESTAURANT,ON,100 STOCKTON ST 8TH FLOOR,SAN FRANCISCO,CA,94108
SEXY FISH,RESTAURANT,ON,1001 S MIAMI AVE,MIAMI,FL,33130
PABU,RESTAURANT,ON,101 CALIFORNIA ST,SAN FRANCISCO,CA,94111
LOLA 41 NAPLES,RESTAURANT,ON,560 9TH STREET,NAPLES,FL,34102
BRAZOS RESTAURANT LLC,RESTAURANT,ON,200 E 6TH ST STE 110,AUSTIN,TX,78701
B100M,RESTAURANT,ON,100 BICAYNE BLVD 104,MIAMI,FL,33132
SOBE-MAKOTO OKUWA DINNER,RESTAURANT,ON,9700 COLLINS AVENUE,BAL HARBOUR,FL,33154
JING,RESTAURANT,ON,413 EAST MAIN STREET,ASPEN,CO,81611
ZZ S CLUB NEW YORK,RESTAURANT,ON,560 W 33RD ST/55 HUDSON YARDS,NEW YORK,NY,10001
ZUMA NEW YORK,RESTAURANT,ON,261 MADISON AVE,NEW YORK,NY,10016
MISSION CEVICHE,RESTAURANT,ON,5 7 E 17TH ST,NEW YORK,NY,10003
Kani House Japanese Restaurant,RESTAURANT,ON,10820 Abbotts Bridge Rd Ste 4000,Duluth,GA,30097
Tomo,RESTAURANT,ON,3630 Peachtree Rd,Atlanta,GA,30326
ETARU HALLANDALE BEACH,RESTAURANT,ON,111 SURF RD,HALLANDALE,FL,33009
LAVO RESTAURANT,RESTAURANT,ON,9201 W SUNSET BLVD,WEST HOLLYWOOD,CA,90069
BUNGALOW KITCHEN,RESTAURANT,ON,5 MAIN ST,BELVEDERE TIBURON,CA,94920
LOLO,RESTAURANT,ON,974 VALENCIA ST,SAN FRANCISCO,CA,94110
EHP SISI RESTAURANT LLC(HOTEL),RESTAURANT,ON,295 THREE MILE HARBOR RD,EAST HAMPTON,NY,11937
UCHI WEST HOLLYWOOD,RESTAURANT,ON,9001 SANTA MONICA BLVD STE 101,WEST HOLLYWOOD,CA,90069
Cocktail Bar & Speakeasy,RESTAURANT,ON,208 Chattahoochee Row NW,Atlanta,GA,30318
KAIYO,RESTAURANT,ON,81701 OLD HIGHWAY,ISLAMORADA,FL,33036
ASPEN PUBLIC HOUSE,RESTAURANT,ON,328 EAST HYMAN AVENUE,ASPEN,CO,81611
CHUBBY CATTLE,RESTAURANT,ON,1388 FULLERTON RD #B,ROWLAND HEIGHTS,CA,91748
LOULOU,RESTAURANT,ON,176 8TH AVE,NEW YORK,NY,10011
EATALY,RESTAURANT,ON,2855 STEVENS CREEK BLVD,SANTA CLARA,CA,95050
BOKA  SUSHI NONAKA,RESTAURANT,ON,410 AMSTERDAM AVE,NEW YORK,NY,10024
SUSHI SEKI,RESTAURANT,ON,208 WEST 23 ST,NEW YORK,NY,10011
