std_account_name,class_of_trade,on_off_premise,address,city,state,zip_code,id
Total,Total,Total,Total,Total,Total,Total,943a46ba-798c-40ce-8aa7-922606e49bb5
MADAME USHI,RESTAURANT,ON,415 EAST HYMAN AVENUE,ASPEN,CO,81611,08221f35-d1e0-47bc-a78e-2b9f67cc04c2
KYU,RESTAURANT,ON,324 LAFAYETTE ST,NEW YORK,NY,10012,be559d1f-72f2-4258-b374-0f9170a3afd1
KYU,RESTAURANT,ON,251 NW 25 STREET,MIAMI,FL,33127,d81516dd-76e5-41b8-98b1-a15950a8a580
ZUMA LAS VEGAS,RESTAURANT,ON,3708 S LAS VEGAS BLVD,LAS VEGAS,NV,89109,b4b8d660-be01-4ae1-b9ff-44df05b1271a
SUNSET HARBOR RESTAURANT LLC,RESTAURANT,ON,313 3 MILE HARBOR HOG CREEK RD,EAST HAMPTON,NY,11937,cf15f23f-6ca3-4292-99d2-853f1e4709e9
LOLA 41 PALM BEACH,RESTAURANT,ON,290 SUNSET AVENUE,PALM BEACH,FL,33480,4435b59d-7abb-45ec-8b3f-df93bdf03050
ZUMA JAPANESE RESTAURANT,RESTAURANT,ON,270 BISCAYNE BLVD WAY,MIAMI,FL,33131,cd8df4ae-8818-41c5-9c45-cb9ab1f54d8b
LOBSTER CLUB  THE,RESTAURANT,ON,375 PARK AVE,NEW YORK,NY,10022,f1c78437-12fc-433c-85e6-ccdd86e11d06
POOL & GRILL,RESTAURANT,ON,99 E 52ND ST,NEW YORK,NY,10152,3541def3-69f7-4387-a82b-41c6a27f7fd5
STANDARD MIAMI (THE),RESTAURANT,ON,40 ISLAND AVENUE,MIAMI BEACH,FL,33139,976e3561-24f2-4898-83e7-eb6a0b8f1133
AQUA,RESTAURANT,ON,902 BROADWAY,NEW YORK,NY,10010,a454895b-8bba-4717-9705-726a6342c8be
TAO UPTOWN,RESTAURANT,ON,42 44 EAST 58TH STREET,NEW YORK,NY,10022,e0eeb3b2-d2c8-4ba1-aa75-e119b034ca4e
MIA MARKET,RESTAURANT,ON,140 NE 39 ST,MIAMI,FL,33137,0cbf1098-478f-4e85-8017-81a3846dc54e
Wagyu House,RESTAURANT,ON,1042 Northside Dr STE 1300,Atlanta,GA,30318,5d6cee85-9462-42ff-b6cb-3825137f2cdd
TAO ASIAN BISTRO@VENETIAN,RESTAURANT,ON,3355 LAS VEGAS BLVD SO,LAS VEGAS,NV,89109,51a5fc4a-bd36-44ac-a3fd-f914645964d1
SUSHI SAKE,RESTAURANT,ON,2150 N COLLINS BOULEVARD,RICHARDSON,TX,75080,217a1233-dc5a-4b81-a8be-fbd475d6ae1c
CHOTTO MATTE,RESTAURANT,ON,100 STOCKTON ST 8TH FLOOR,SAN FRANCISCO,CA,94108,212ec18e-a129-4cf6-9ed6-5738a8e87659
SEXY FISH,RESTAURANT,ON,1001 S MIAMI AVE,MIAMI,FL,33130,5ea87cea-5c29-4dd8-b030-d6b7e0b100b1
PABU,RESTAURANT,ON,101 CALIFORNIA ST,SAN FRANCISCO,CA,94111,de65a4e9-e126-47d3-bf73-e2ebfd89b593
LOLA 41 NAPLES,RESTAURANT,ON,560 9TH STREET,NAPLES,FL,34102,8f2c8797-1b68-41a8-ac53-da97d5bcbcb5
BRAZOS RESTAURANT LLC,RESTAURANT,ON,200 E 6TH ST STE 110,AUSTIN,TX,78701,b901c907-b3c9-473a-91f5-592737f0bacf
B100M,RESTAURANT,ON,100 BICAYNE BLVD 104,MIAMI,FL,33132,e007091a-69b6-4004-83d5-968741db37d2
SOBE-MAKOTO OKUWA DINNER,RESTAURANT,ON,9700 COLLINS AVENUE,BAL HARBOUR,FL,33154,e80e77fa-7474-4baa-86be-af535510c107
JING,RESTAURANT,ON,413 EAST MAIN STREET,ASPEN,CO,81611,4af0a792-1640-47b5-a856-5fad5484e74e
ZZ S CLUB NEW YORK,RESTAURANT,ON,560 W 33RD ST/55 HUDSON YARDS,NEW YORK,NY,10001,f5991ac7-183d-4e32-ba3c-b5a9ee7e37f6
ZUMA NEW YORK,RESTAURANT,ON,261 MADISON AVE,NEW YORK,NY,10016,2f626521-b169-46f3-9d89-9afd74a8fe82
MISSION CEVICHE,RESTAURANT,ON,5 7 E 17TH ST,NEW YORK,NY,10003,862be085-96d6-4eeb-8e0a-557a667b2cff
Kani House Japanese Restaurant,RESTAURANT,ON,10820 Abbotts Bridge Rd Ste 4000,Duluth,GA,30097,5a599f97-1a6e-4e77-82de-fe87b4f771dc
Tomo,RESTAURANT,ON,3630 Peachtree Rd,Atlanta,GA,30326,f501ebeb-e9c4-40a6-bff6-fbc48758f244
ETARU HALLANDALE BEACH,RESTAURANT,ON,111 SURF RD,HALLANDALE,FL,33009,bfedf9a7-325e-4567-8dbc-2ff332950ca5
LAVO RESTAURANT,RESTAURANT,ON,9201 W SUNSET BLVD,WEST HOLLYWOOD,CA,90069,de764817-2aa1-4d7e-89ba-7af14bfe6662
BUNGALOW KITCHEN,RESTAURANT,ON,5 MAIN ST,BELVEDERE TIBURON,CA,94920,7244c87f-dabd-4ffc-a9b7-ac0ff1ca7f4a
LOLO,RESTAURANT,ON,974 VALENCIA ST,SAN FRANCISCO,CA,94110,b350e602-748e-40c9-9489-94b07b0ab344
EHP SISI RESTAURANT LLC(HOTEL),RESTAURANT,ON,295 THREE MILE HARBOR RD,EAST HAMPTON,NY,11937,7b559390-c6af-471c-b6a5-f846adcae03a
UCHI WEST HOLLYWOOD,RESTAURANT,ON,9001 SANTA MONICA BLVD STE 101,WEST HOLLYWOOD,CA,90069,d7a4b7d8-b2b1-43a4-9dd8-b0acef93198a
Cocktail Bar & Speakeasy,RESTAURANT,ON,208 Chattahoochee Row NW,Atlanta,GA,30318,976a7533-ab96-45ab-999a-719dc2a51762
KAIYO,RESTAURANT,ON,81701 OLD HIGHWAY,ISLAMORADA,FL,33036,1363d767-eb33-4304-9857-48aeda503aab
ASPEN PUBLIC HOUSE,RESTAURANT,ON,328 EAST HYMAN AVENUE,ASPEN,CO,81611,a08faec8-07e2-4c97-859e-4d88fa915016
CHUBBY CATTLE,RESTAURANT,ON,1388 FULLERTON RD #B,ROWLAND HEIGHTS,CA,91748,fc9ca573-d252-44fa-b595-98b4e9624eb2
LOULOU,RESTAURANT,ON,176 8TH AVE,NEW YORK,NY,10011,8983456b-3f10-4e3c-9a8d-c81b7123cf29
EATALY,RESTAURANT,ON,2855 STEVENS CREEK BLVD,SANTA CLARA,CA,95050,414d81b8-b207-465f-a0b8-92af8714f638
BOKA  SUSHI NONAKA,RESTAURANT,ON,410 AMSTERDAM AVE,NEW YORK,NY,10024,7d5cb658-061b-4fc6-84fd-eebca0a1e2cc
SUSHI SEKI,RESTAURANT,ON,208 WEST 23 ST,NEW YORK,NY,10011,41f3244f-b135-46b3-8da6-c3e0cab26c15
WAYFARE TAVERN,RESTAURANT,ON,201 PINE ST,SAN FRANCISCO,CA,94104,063b856d-53bc-457f-87e4-dcbae6cc6fbf
ALLEYCAT,RESTAURANT,ON,297 EAST PALMETTO PARK ROAD,BOCA RATON,FL,33432,f7c5126d-4bf0-4407-861b-c529411c71ab
CHUBBY CATTLE,RESTAURANT,ON,4525 SPRING MOUNTAIN RD STE106,LAS VEGAS,NV,89102,c611d9be-e8e2-48ac-a4eb-37fe5031f3af
LOVELY DAY,RESTAURANT,ON,196 ELIZABETH ST,NEW YORK,NY,10010,bd9c8671-fda2-4409-8c5e-f1b2f9b59baa
THE RIVER OYSTER BAR,RESTAURANT,ON,33 SE 7TH STREET,MIAMI,FL,33131,dce70501-e76d-4247-a21a-4d91055b2bcb
SOBE-RAW BAR MASTER CLASS,RESTAURANT,ON,210 NE 18TH STREET,MIAMI,FL,33132,8733aee3-4e59-4ec0-9247-d4f2ec54e580
SPOTOS OYSTER BAR,RESTAURANT,ON,4560 PGA BLVD,PALM BEACH GARDENS,FL,33418,940aa3dd-5dab-42da-b3b9-84afb906bb3c
BLUE WHALE RESTAURANT & LOUNGE,RESTAURANT,ON,2033 UNION ST,SAN FRANCISCO,CA,94123,cd736284-2d1c-4639-b594-3fe236e4f6b9
ALICE RESTAURANT,RESTAURANT,ON,126 WEST 13TH ST,NEW YORK,NY,10011,d94f22f9-d9d1-4bdd-9043-7ea1150eb274
CATCH STEAK,RESTAURANT,ON,204 SOUTH GALENA STREET,ASPEN,CO,81611,76df5dd2-3332-4ffc-a0a9-bdd4f8c0a2c0
Pasha Restaurant,RESTAURANT,ON,631 Miami Circle NE #7,Atlanta,GA,30324,e3a092d4-b8b0-4c0b-b14a-1e025466dfe8
HSU S GOURMET,RESTAURANT,ON,192 Peachtree Center Ave NE #A039,Atlanta,GA,30303,43437c4c-d502-4665-b39b-5b6d25a6683b
YAMA IZAKAYA & SUSHI B,RESTAURANT,ON,2625 OLD DENTON ROAD SUITE 920,CARROLLTON,TX,75007,717b6fc0-c650-4dba-a853-8d11305eaa80
MOBY S,RESTAURANT,ON,341 PANTIGO RD,EAST HAMPTON,NY,11937,31340059-3e83-4b5a-b9dc-e61a8101f3dd
GREYHOUND HIGHLAND PARK,RESTAURANT,ON,5570 N FIGUEROA ST,LOS ANGELES,CA,90042,e0bd09e0-8c2c-4af8-a87a-314256da24b6
SHANG ARTISAN NOODLE,RESTAURANT,ON,4983 W FLAMINGO RD #B,LAS VEGAS,NV,89103,c1015086-39e8-4e57-ba3c-bed4bc247e99
Pinky Promise Champagne Bar,RESTAURANT,ON,1042 Northside Dr NW Ste P125,Atlanta,GA,30318,8aa6d76c-50a8-4787-8f0e-c63f8d32eb8e
THE GINGER PIG,RESTAURANT,ON,4262 LOWELL BLVD,DENVER,CO,80211,163603a0-7d4a-4b97-be25-e564550ada9d
Memphis Smokehouse (Sea Salt),RESTAURANT,ON,1801 Howell Mill Rd NW Ste 400,Atlanta,GA,30318,ebe8b2ad-7ebe-4079-84a3-cfdf6110022e
Prime Cigar,RESTAURANT,ON,1035 peachtree st ne,Atlanta,GA,30309,90bb7249-b61c-4b7b-92c6-da2d63672beb
LAMARINA,RESTAURANT,ON,4050 NORTH FLAGLER DRIVE,WEST PALM BEACH,FL,33407,68316c14-a069-4787-845b-5238dc398d34
CRAIG S RESTAURANT,RESTAURANT,ON,8826 MELROSE AV,WEST HOLLYWOOD,CA,90069,325adc50-ae08-433e-be74-3df83b88e6db
SHANG ARTISAN NOODLE,RESTAURANT,ON,6915 S DURANGO DRIVE,LAS VEGAS,NV,89148,62f9b575-a644-423f-adb7-dfe62ebc9450
CHINA GARDEN,RESTAURANT,ON,100 WEST BEAVER CREEK BLVD 125,AVON,CO,81620,bc6c633c-3d76-4388-8d43-038d8b477063
LE COLONIAL,RESTAURANT,ON,255 N FILLMORE ST SUITE 120,DENVER,CO,80206,2e5f0f86-aa95-4fc4-9d7a-733336f87652
Osha Thai And Sushi Galleria,RESTAURANT,ON,1820 Peachtree St NW,Atlanta,GA,30309,7f65a030-3444-4320-beef-a22af2e85b64
GUGU ROOM NYC,RESTAURANT,ON,143 ORCHARD ST,NEW YORK,NY,10002,334aa5eb-3aec-41c7-bee2-eacad19f0b91
NUDIBRANCH,RESTAURANT,ON,125 127 1ST AVE,NEW YORK,NY,10003,1d2d0473-3fa9-425f-8047-97ef1781a060
PATISSERIE CHANSON,RESTAURANT,ON,20 W23RD ST,NEW YORK,NY,10010,dc04530b-190d-409a-90a8-ae6f3e084624
NIKU X LOS ANGELES,RESTAURANT,ON,900 WILSHIRE BLVD STE 212,LOS ANGELES,CA,90017,c34c7a93-4f02-4f74-98fa-490a9edb7f17
HEATHERS SNOWMASS,RESTAURANT,ON,300 CARRIAGE WAY,SNOWMASS VILLAGE,CO,81615,f54ead02-7442-4b7e-a17e-d206850e1b7f
TSURI SUSHI,RESTAURANT,ON,7015 MELROSE AVE,LOS ANGELES,CA,90038,5eb54277-705a-45fd-9db9-577732b6d1d7
Ruby Chow s,RESTAURANT,ON,620 Glen Iris Dr NE #C-1,Atlanta,GA,30308,17f5f935-407c-4524-898c-15479a1fd486
PRESS,RESTAURANT,ON,587-B S ST HELENA HWY,ST. HELENA,CA,94574,cf2806bc-716f-4335-84de-9302410efc0f
GIGI S CFE FIORUCCI,RESTAURANT,ON,610 S MOUNT SHASTA BLVD,MOUNT SHASTA,CA,96067,eb05471f-5254-41ab-8e7b-b037399e605d
YUJO,RESTAURANT,ON,12835 PRESTON RD SUITE 216,DALLAS,TX,75230,69c5b7a2-381f-4092-9bfb-43717c417dd7
MEZCAL GRILL,RESTAURANT,ON,5701 BROADWAY STE B,SACRAMENTO,CA,95820,c3e23885-f349-4ebf-a424-e4d74c1ed076
O-Ku,RESTAURANT,ON,1085 Howell Mill Rd NW  A-3,Atlanta,GA,30318,6fcb3510-c6e4-445a-b93e-21132d4bcb4a
KA THAI,RESTAURANT,ON,3220 MCKINNEY AVE SUITE 120,DALLAS,TX,75204,aa2c8e25-79a8-4d9b-815a-21ea65dc9843
BLUE MAKI,RESTAURANT,ON,2625 OLD DENTON RD STE 444,CARROLLTON,TX,75007,0d526cfe-297f-459f-b6df-62547a214962
SHOKUDO,RESTAURANT,ON,4740 NE 2ND AVENUE,MIAMI,FL,33137,bf1bd04b-e45b-40ed-9ce0-133f98c31bdb
MAVERICKS MONTAUK LLC,RESTAURANT,ON,51 S EDGEMERE ST,MONTAUK,NY,11954,e0e4a840-e2a5-4aa4-9c91-085a639d937b
HULLABALOO,RESTAURANT,ON,517-519 CLEMATIS STREET,WEST PALM BEACH,FL,33401,bea3237f-c3c1-47ac-b183-808bb798c292
ERNESTO S,RESTAURANT,ON,259 E BROADWAY,NEW YORK,NY,10002,91bea213-0b76-4130-8d0b-2f4f3603f978
MEAT & CHEESE,RESTAURANT,ON,319 EAST HOPKINS AVE UNIT 103,ASPEN,CO,81611,678e0216-3008-4c58-9eaf-d4f5115bbf98
