id,created_at,std_account_name,raw_vip_name,city,state,class_of_trade,on_off_premise,address,zip_code
00061cc9-3004-4aea-b4a6-16f81c6426c2,2025-05-18 19:50:41.054755+00,Royal Package,,Lilburn,GA,LIQUOR/PACKAGE STORE,OFF,5464 Lawrenceville  NW Hwy 29,30047
00ccc7fe-4ad0-4af1-a056-bc1fa377cebf,2025-05-18 19:50:41.054755+00,LA COMPAGNIE WINE BAR/EXPERIME,,NEW YORK,NY,BAR/TAVERN,ON,6 WEST 24TH ST,10010
0114fab9-e30b-4fe8-bd21-4faaaa968a3a,2025-05-18 19:50:41.054755+00,CIRCUS LIQUOR,,NORTH HOLLYWOOD,CA,LIQUOR/PACKAGE STORE,OFF,5600 VINELAND AV,91601
0169ad77-221f-4f1f-9eed-f086f898b50a,2025-05-18 19:50:41.054755+00,KATAMI A,,HOUSTON,TX,RESTAURANT,ON,2701 W DALLAS ST,77019
01b348a8-1a96-4f96-91b9-1ab55be25150,2025-05-18 19:50:41.054755+00,SUSHI SAKE,,RICHARDSON,TX,RESTAURANT,ON,2150 N COLLINS BOULEVARD,75080
0213f1e0-afb3-498e-9f6e-ed3d8f5c6908,2025-05-18 19:50:41.054755+00,SPEC S 090 LIQUOR,,DALLAS,TX,LIQUOR/PACKAGE STORE,OFF,7777 HINES PLACE BOULEVARD,75235
0226d487-33d0-4162-a18d-db84e8fe5403,2025-05-18 19:50:41.054755+00,CHRISTOPHER BURKE,,Savannah,GA,NON-RETAIL,OFF,Bldg J 1101 Chatham Parkway,31408
023872ac-3540-4513-8fbf-0126e7b25e18,2025-05-18 19:50:41.054755+00,LIQUOR PARK,,PLANO,TX,LIQUOR/PACKAGE STORE,OFF,2001 COIT ROAD SUITE 307,75075
02406ef7-e45a-468b-8dad-3a27ceb675cf,2025-05-18 19:50:41.054755+00,SAKE ONO/PARK STREET IMPORTS,,DALLAS,TX,OTHER OFF PREMISE,OFF,5286 POST OFFICE BOX 660367,75266
027b7351-db4b-4800-b8b1-9a2cd8f4baaa,2025-05-18 19:50:41.054755+00,PAPERFISH/BARSECCO,,MIAMI,FL,RESTAURANT,ON,1421 SOUTH MIAMI AVENUE,33131
0298f627-1857-46c5-8d13-a25fc40d989c,2025-05-18 19:50:41.054755+00,BONNELL S FINE TEXAS CUISINE,,FORT WORTH,TX,RESTAURANT,ON,4259 BRYANT IRVIN ROAD,76109
02d2a7d7-35be-4b59-aac2-aba3e1d39c9c,2025-05-18 19:50:41.054755+00,Osha Thai And Sushi Galleria,,Atlanta,GA,RESTAURANT,ON,1820 Peachtree St NW,30309
02d6c8e5-f0d0-4b6e-a757-8ea9c851d2d1,2025-05-18 19:50:41.054755+00,M and S Liquor Store,,Hinesville,GA,LIQUOR/PACKAGE STORE,OFF,2367 Ga Hwy 196 W,31313
