std_account_name_for_lookup,cases,order_date,sku
Total,23.0,2024-04-01,DEFAULT_SKU
POOL & GRILL,8.0,2024-04-01,DEFAULT_SKU
MARTINI BAR,3.0,2024-04-01,DEFAULT_SKU
K & L (SPIRITS),5.0,2024-04-01,DEFAULT_SKU
CRAFT & ART WINES & SP/PAR-SAM,2.0,2024-04-01,DEFAULT_SKU
CRAFT & ART WINES & SP/PAR-SAM,1.0,2024-04-01,DEFAULT_SKU
SGWS-HOUSE SAMPLE M02(SUPP) ON,3.0,2024-04-01,DEFAULT_SKU
Total,192.0,2024-05-01,DEFAULT_SKU
ZUMA LAS VEGAS,14.0,2024-05-01,DEFAULT_SKU
SUNSET HARBOR RESTAURANT LLC,10.0,2024-05-01,DEFAULT_SKU
ZUMA JAPANESE RESTAURANT,5.0,2024-05-01,DEFAULT_SKU
LOBSTER CLUB  THE,20.0,2024-05-01,DEFAULT_SKU
MIA MARKET,1.0,2024-05-01,DEFAULT_SKU
PABU,10.0,2024-05-01,DEFAULT_SKU
MEZCAL GRILL,1.0,2024-05-01,DEFAULT_SKU
MAVERICKS MONTAUK LLC,2.0,2024-05-01,DEFAULT_SKU
ZZ S,10.0,2024-05-01,DEFAULT_SKU
FOLKLORE,1.0,2024-05-01,DEFAULT_SKU
CLOVER CLUB,1.0,2024-05-01,DEFAULT_SKU
GARY S LIQUORS KGB,23.0,2024-05-01,DEFAULT_SKU
K & L (SPIRITS),8.0,2024-05-01,DEFAULT_SKU
FANCY FREE LIQUOR,3.0,2024-05-01,DEFAULT_SKU
VINTAGE LIQUORS III,1.0,2024-05-01,DEFAULT_SKU
WALLY S WAREHOUSE - OFF SALE,4.0,2024-05-01,DEFAULT_SKU
BOTTLE BARN,1.0,2024-05-01,DEFAULT_SKU
SENDSIPS,1.0,2024-05-01,DEFAULT_SKU
WEST VIEW BOTTLE APOSTLE,1.0,2024-05-01,DEFAULT_SKU
GREAT AMERICAN CRAFT SPIRITS,1.0,2024-05-01,DEFAULT_SKU
HANDY LIQUOR,1.0,2024-05-01,DEFAULT_SKU
BRADLEY S FINE WINES & SPIRITS,1.0,2024-05-01,DEFAULT_SKU
MARTINIQUE ON BROADWAY,9.0,2024-05-01,DEFAULT_SKU
MONTAUK BEACH HSE,6.0,2024-05-01,DEFAULT_SKU
LOEWS CORAL GABLES HOTEL,1.0,2024-05-01,DEFAULT_SKU
RITZ CARLTON HOTEL COMPANY,1.0,2024-05-01,DEFAULT_SKU
CRAFT & ART WINES & SP/PAR-SAM,10.0,2024-05-01,DEFAULT_SKU
CRAFT & ART WINES & SP/PAR-SAM,20.0,2024-05-01,DEFAULT_SKU
SAKE ONO/PARK STREET IMP -SAMP,3.0,2024-05-01,DEFAULT_SKU
HD 200 PARK LLC,1.0,2024-05-01,DEFAULT_SKU
SAMPLE GRAND ANNUAL TASTING,9.0,2024-05-01,DEFAULT_SKU
MISSION LIQUOR & WINES WHSE,1.0,2024-05-01,DEFAULT_SKU
SOHO HOUSE WEST HOLLYWOOD,2.0,2024-05-01,DEFAULT_SKU
THE BRIDGE GOLF CLUB INC,2.0,2024-05-01,DEFAULT_SKU
