,,,,,,,1 Month 4/1/2024 thru 4/30/2024,1 Month 5/1/2024 thru 5/31/2024,1 Month 6/1/2024 thru 6/30/2024,1 Month 7/1/2024 thru 7/31/2024,1 Month 8/1/2024 thru 8/31/2024,1 Month 9/1/2024 thru 9/30/2024,1 Month 10/1/2024 thru 10/31/2024,1 Month 11/1/2024 thru 11/30/2024,1 Month 12/1/2024 thru 12/31/2024,1 Month 1/1/2025 thru 1/31/2025,1 Month 2/1/2025 thru 2/28/2025,1 Month 3/1/2025 thru 3/31/2025,12 Months 4/1/2024 thru 3/31/2025,Diff,,,,,,,,,,,,,,,,
Classes of Trade,OnOff Premises,Retail Accounts,Address,City,State,Zip Code,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,,,,,,,,,,,,,,,,
Total,Total,Total,Total,Total,Total,Total,23,192,160,264,181,378,340,386,553,497,596,794,"4,363","4,363",,,,,,,,,,,,,,,,
RESTAURANT,ON,MADAME USHI,415 EAST HYMAN AVENUE,ASPEN,CO,81611,0,0,1,11,0,0,0,0,25,15,20,20, 92 , 92 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KYU,324 LAFAYETTE ST,NEW YORK,NY,10012,0,0,2,0,8,9,2,3,6,2,6,5, 43 , 43 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KYU,251 NW 25 STREET,MIAMI,FL,33127,0,0,0,8,5,2,7,2,2,4,6,4, 40 , 40 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZUMA LAS VEGAS,3708 S LAS VEGAS BLVD,LAS VEGAS,NV,89109,0,14,0,12,3,0,0,0,0,6,0,12, 47 , 47 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SUNSET HARBOR RESTAURANT LLC,313 3 MILE HARBOR HOG CREEK RD,EAST HAMPTON,NY,11937,0,10,0,0,0,0,0,0,22,0,6,0, 38 , 38 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LOLA 41 PALM BEACH,290 SUNSET AVENUE,PALM BEACH,FL,33480,0,0,0,0,0,0,0,0,0,4,18,4, 26 , 26 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZUMA JAPANESE RESTAURANT,270 BISCAYNE BLVD WAY,MIAMI,FL,33131,0,5,0,0,0,0,0,0,0,0,6,10, 21 , 21 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LOBSTER CLUB  THE,375 PARK AVE,NEW YORK,NY,10022,0,20,0,0,3,0,0,1,15,0,5,8, 52 , 52 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,POOL & GRILL,99 E 52ND ST,NEW YORK,NY,10152,8,0,1,1,0,2,3,3,4,3,3,3, 31 , 31 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,STANDARD MIAMI (THE),40 ISLAND AVENUE,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,0,0,4,12,8, 24 , 24 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,AQUA,902 BROADWAY,NEW YORK,NY,10010,0,0,0,0,0,1,0,0,15,0,5,8, 29 , 29 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TAO UPTOWN,42 44 EAST 58TH STREET,NEW YORK,NY,10022,0,0,0,0,0,0,1,7,6,0,3,4, 21 , 21 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MIA MARKET,140 NE 39 ST,MIAMI,FL,33137,0,1,0,0,2,0,5,0,5,0,5,5, 23 , 23 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Wagyu House,1042 Northside Dr STE 1300,Atlanta,GA,30318,0,0,0,0,2,0,2,6,0,3,3,3, 19 , 19 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TAO ASIAN BISTRO@VENETIAN,3355 LAS VEGAS BLVD SO,LAS VEGAS,NV,89109,0,0,0,0,0,0,0,0,4,3,5,6, 18 , 18 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SUSHI SAKE,2150 N COLLINS BOULEVARD,RICHARDSON,TX,75080,0,0,0,0,0,0,0,2,9,0,5,5, 21 , 21 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CHOTTO MATTE,100 STOCKTON ST 8TH FLOOR,SAN FRANCISCO,CA,94108,0,0,0,0,0,0,0,0,0,11,0,3, 14 , 14 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SEXY FISH,1001 S MIAMI AVE,MIAMI,FL,33130,0,0,0,0,0,0,0,0,5,3,3,7, 18 , 18 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PABU,101 CALIFORNIA ST,SAN FRANCISCO,CA,94111,0,10,0,0,0,0,0,0,5,0,5,6, 26 , 26 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LOLA 41 NAPLES,560 9TH STREET,NAPLES,FL,34102,0,0,0,0,0,0,0,0,0,10,0,6, 16 , 16 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BRAZOS RESTAURANT LLC,200 E 6TH ST STE 110,AUSTIN,TX,78701,0,0,0,0,0,0,0,0,2,2,6,2, 12 , 12 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,B100M,100 BICAYNE BLVD 104,MIAMI,FL,33132,0,0,0,0,0,0,0,0,9,0,0,4, 13 , 13 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SOBE-MAKOTO OKUWA DINNER,9700 COLLINS AVENUE,BAL HARBOUR,FL,33154,0,0,0,0,2,0,2,2,0,1,2,0, 9 , 9 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JING,413 EAST MAIN STREET,ASPEN,CO,81611,0,0,0,0,0,0,0,0,2,3,4,4, 13 , 13 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZZ S CLUB NEW YORK,560 W 33RD ST/55 HUDSON YARDS,NEW YORK,NY,10001,0,0,0,0,0,0,0,0,3,6,4,4, 17 , 17 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZUMA NEW YORK,261 MADISON AVE,NEW YORK,NY,10016,0,0,0,0,0,2,0,1,2,3,3,4, 15 , 15 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MISSION CEVICHE,5 7 E 17TH ST,NEW YORK,NY,10003,0,0,0,1,0,0,0,1,3,3,3,3, 14 , 14 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kani House Japanese Restaurant,10820 Abbotts Bridge Rd Ste 4000,Duluth,GA,30097,0,0,4,0,0,4,0,0,0,0,0,4, 12 , 12 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Tomo,3630 Peachtree Rd,Atlanta,GA,30326,0,0,7,0,0,0,0,0,0,0,4,4, 15 , 15 ,,,,,,,,,,,,,,,,
